3.3699247367590003E-4, .003 , 280.2
4.7766163414818675E-4, .003 , 266.0
5.983482009231414E-4, .003 , 278.3
5.57157178425077E-4, .003 , 276.1
4.3638845421544207E-4, .003 , 273.5
5.190071237507891E-4, .003 , 277.5
3.8505447019277655E-4, .003 , 273.0
3.128771726534906E-4, .003 , 275.2
6.156454142662823E-4, .003 , 275.2
5.895776598834018E-4, .003 , 276.4
4.509759238593953E-4, .003 , 274.6
4.5041954277587207E-4, .003 , 275.5
3.8300711532933765E-4, .003 , 276.0
3.6476589451301604E-4, .003 , 276.6
6.469553156332097E-4, .003 , 275.0
7.085140120616069E-4, .003 , 266.3
6.319528724568824E-4, .003 , 270.1
5.875609988964596E-4, .003 , 276.4
3.885413972050111E-4, .003 , 272.5
5.65712063365075E-4, .003 , 273.8
4.915007796615084E-4, .003 , 272.8
4.792155294907136E-4, .003 , 278.4
3.0271864607352134E-4, .003 , 273.4
6.672608840383224E-4, .003 , 276.1
3.379939416746012E-4, .003 , 275.0
7.98464438897314E-4, .003 , 278.0
7.921451885523634E-4, .003 , 275.1
5.950907027803453E-4, .003 , 279.2
7.146101116070519E-4, .003 , 272.4
4.2802013241374944E-4, .003 , 275.3
4.76400753393447E-4, .003 , 273.6
7.305130355620581E-4, .003 , 281.4
6.871441480022547E-4, .003 , 273.2
3.777596212925471E-4, .003 , 274.7
4.597009828812034E-4, .003 , 272.6
3.0290454039615675E-4, .003 , 277.4
4.402559591707599E-4, .003 , 275.4
3.169475506647307E-4, .003 , 276.9
5.587784781983341E-4, .003 , 273.2
5.197184525433863E-4, .003 , 277.7
5.144023510669754E-4, .003 , 273.1
3.798985848467863E-4, .003 , 274.0
6.017661022701312E-4, .003 , 276.3
3.183795578950149E-4, .003 , 277.3
5.81199391165889E-4, .003 , 272.1
